norm,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
north ealing,0.007879924953095686,0.000375234521575985,0.0,0.0,0.0,0.00375234521575985,0.02401500938086304,0.09080675422138837,0.1452157598499062,0.05966228893058161,0.03377110694183865,0.02851782363977486,0.030393996247654785,0.0348968105065666,0.03264540337711069,0.11932457786116323,0.06641651031894934,0.07692307692307693,0.08405253283302064,0.05365853658536585,0.03264540337711069,0.027392120075046905,0.025891181988742965,0.02176360225140713
north greenwich,0.011097942032108609,0.0018197272803457483,0.0,0.0,0.0,0.011373295502160926,0.0370410276670378,0.06895808641310204,0.08868776113685067,0.0607573417615439,0.03593961378682853,0.034083970836475956,0.03184522740605059,0.032168468436112006,0.03281495049623484,0.04496641884854362,0.07659615223455327,0.1016652898993164,0.10002514096900478,0.0622657999018305,0.03821427288726071,0.0333536855463372,0.04926432735936022,0.04706149959894169
north harrow,0.007743534148985597,0.00046461204893913583,0.0,0.0,0.0,0.0103763357596407,0.047390428991791855,0.1269939600433638,0.13566671829022767,0.04955861855350782,0.02803159361932786,0.024469567910794486,0.02617314542357132,0.028186464302307573,0.029115688400185843,0.04289917918538021,0.07325383304940375,0.09447111661762428,0.10840947808579836,0.06690413504723555,0.033452067523617776,0.022920861080997366,0.02477930927675391,0.018739352640545145
north wembley,0.007439712673165726,0.0,0.0,0.0,0.0,0.018471010774756286,0.064648537711647,0.09594663930220626,0.11262185736275013,0.05002565418163161,0.026936890713186248,0.021549512570549,0.02539763981528989,0.0323242688558235,0.03719856336582863,0.05079527963057978,0.07721908671113391,0.09774243201641868,0.09466393022062596,0.06926629040533606,0.040533606977937404,0.030271934325295024,0.027706516162134428,0.019240636223704463
northfields,0.012189367725699906,0.001966027052532243,0.0,0.0,0.0,0.009594212016357346,0.03924189996854357,0.10828877005347594,0.13054419628814093,0.058430324001258256,0.03247876690783265,0.02713117332494495,0.026344762503932053,0.029569046870084933,0.031535073922617174,0.04687008493236867,0.06912551116703367,0.09720037747719408,0.09609940232777603,0.06259830135262662,0.03546712802768166,0.02996225228059138,0.03027681660899654,0.025086505190311418
northolt,0.008679817905918057,0.0008497723823975721,0.0,0.0,0.0,0.021547799696509863,0.07326251896813353,0.10500758725341426,0.10069802731411229,0.05250379362670713,0.032898330804248865,0.027981790591805767,0.029195751138088012,0.03253414264036419,0.03490136570561457,0.046251896813353566,0.0681638846737481,0.09742033383915023,0.09766312594840668,0.06379362670713201,0.03708649468892261,0.027738998482549317,0.023732928679817907,0.018088012139605463
northwick park,0.006892477353288696,0.00039385584875935406,0.0,0.0,0.0,0.009058684521465145,0.04732834449258238,0.08553236182223972,0.11585926217670998,0.06465800183799396,0.04581856373900486,0.03630038072732047,0.03741630563213864,0.04417749770250755,0.041223578836812394,0.0514638309045556,0.0814625180517264,0.10227123539451227,0.08874885125377445,0.05290796901667323,0.034331101483523696,0.024025206774320598,0.017657870552711043,0.012472101877379545
northwood,0.006432748538011696,0.0005847953216374269,0.0,0.0,0.0,0.0061403508771929825,0.03693957115009747,0.12621832358674465,0.15925925925925927,0.05419103313840156,0.03440545808966861,0.030214424951267055,0.027485380116959064,0.027485380116959064,0.0304093567251462,0.05730994152046784,0.08693957115009747,0.08333333333333333,0.08898635477582846,0.05721247563352826,0.030311890838206627,0.021539961013645224,0.0195906432748538,0.015009746588693957
northwood hills,0.008086253369272238,0.0002994908655286014,0.0,0.0,0.0,0.009883198562443846,0.04986522911051213,0.12294100029949087,0.1322252171308775,0.04851752021563342,0.03264450434261755,0.029200359389038633,0.02845163222521713,0.03369272237196765,0.03668763102725367,0.06214435459718479,0.07517220724767895,0.0865528601377658,0.09209344115004492,0.05884995507637017,0.03324348607367475,0.023060796645702306,0.020365378855944895,0.016022761305780175
notting hill gate,0.00828349851023815,0.001246751051285844,0.0,0.0,0.0,0.002451239355070473,0.018257506920524903,0.06732455676943558,0.10187435285167888,0.07651670435094986,0.046129788897576234,0.04226274750121505,0.0449253005937916,0.045495847685058,0.046953912473849925,0.054645732519071066,0.07009276673076517,0.09498552500898083,0.09897935464784566,0.06216850157428735,0.03888172770111785,0.03066162331213152,0.02597045833949665,0.0218921032056294
oakwood,0.012849931161083065,0.0028682882055988987,0.0,0.0,0.0,0.011128958237723726,0.0356815052776503,0.09075263882514915,0.10888022028453419,0.06883891693437356,0.04508949059201468,0.03636989444699403,0.03510784763653052,0.036714089031665904,0.04004130335016062,0.058054153281321706,0.06803579623680588,0.07985314364387333,0.08754015603487839,0.06103717301514456,0.03659935750344195,0.0289123451124369,0.03086278109224415,0.024782010096374485
old street,0.008890869850802289,0.0,0.0,0.0,0.0,0.0012667730130430702,0.014931500422257672,0.05481139157361359,0.11066669794501267,0.09744768696631322,0.0478558693816271,0.036759876137749836,0.04016139626536549,0.04071267711363423,0.03963357417659754,0.04616683869756967,0.06476963498170217,0.10507178380407244,0.10520080698132683,0.05750914891620531,0.037287698226517785,0.031892183541334336,0.03210331237684151,0.02686027962841325
osterley,0.007987220447284345,0.0020331106593087424,0.0,0.0,0.0,0.013650885855358699,0.04472843450479233,0.10267208829509149,0.12547197211733954,0.06259076386871915,0.03369154806854487,0.027592216090618647,0.027446993900668022,0.03064188207958176,0.03093232645948301,0.040516990996224224,0.06433343014812663,0.09642753412721464,0.1051408655242521,0.067673540516991,0.038919546906767355,0.030060993319779263,0.027301771710717397,0.0201858844031368
